NAISTYP_SORT; NAISTYP_C; NAISTYP_S20; NAISTYP_NAME_LAT; NAISTYP_NAME_DEU; NAISTYP_NAMK_DEU; NAISTYP_NAME_FRZ; NAISTYP_NAMK_FRZ; NTYP_C_ANHANG2A; NTYP_C_BSCHR_SEP; NTYP_C_BSCHR_TI; NTYP_W_B_ETAP1; NTYP_W_B_ETAP2; NTYP_G_P_ETAP1; NTYP_G_P_ETAP2; NTYP_BS_ETAP1; NTYP_BS_ETAP2; NTYP_SSKSMS_ETA1; NTYP_SSKSMS_ETA2; NTYP_DELARZE08; NTYP_C_ABGES; NTYP_C_GFX_ORT; NTYP_C_GFX_BODEN; NAISTYP_GFX; NAISTYP_WGES; NAISTYP_ANFP; NAISTYP_GFK; NAISTYP_GFEI; NAISTYP_GRB; NAISTYP_ANFP_05; NAISTYP_BEM; NTYP_NATP_ABK; NTYP_NATP_BED
50.000003;50Fe   ;Y;"Adenostylo alliariae-Abieti-Piceetum typicum; Ausbildung auf Fels";Typischer Hochstauden-Tannen-Fichtenwald auf Fels;Typischer Hochstauden-Ta-Fi-Wald auf Fels;Pessière-Sapinière à  Adénostyle typique sur rochers;;;;;;;;;;;;;;;x;;50Fe;Typischer Hochstauden-Ta-Fi-Wald auf Fels;50;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;;;50;"Pestwurz dominiert nicht; mit anstehendem Fels; im Tannen-Haupt- oder Nebenareal"
50.00008;50P    ;Y;Adenostylo-Abieti-Piceetum petasitetosum;Hochstauden-Tannen-Fichtenwald mit Pestwurz;Hochstauden-Ta-Fi-Wald mit Pestwurz;Pessière-Sapinière à  Pétasite;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;50P;Hochstauden-Ta-Fi-Wald mit Pestwurz;50P;TAFIMO;Tanne-Fichte Moderholz;Tannen-Fichtenwälder;50P;;50;Pestwurz dominiert
50.1;50*    ;Y;Adenostylo glabrae-Abieti-Piceetum typicum;Karbonat-Tannen-Fichtenwald mit kahlem Alpendost;Karbonat-Ta-Fi-Wald mit kahlem Alpendost;Pessière-Sapinière à  Adénostyle glabre;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;50Stern;Karbonat-Ta-Fi-Wald mit kahlem Alpendost;51 50*;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;51 50*;;50*;Im Tannen-Haupt- oder Nebenareal
50.1000003;50*Re  ;Y;Adenostylo glabrae-Abieti-Piceetum typicum im Tannen-Reliktareal;Karbonat-Tannen-Fichtenwald mit kahlem Alpendost im Tannen-Reliktareal;Karbonat-Ta-Fi-Wald mit kahlem Alpendost im Ta-Reliktareal;Pessière-Sapinière à  Adénostyle glabre dans l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;50SternRe;Karbonat-Ta-Fi-Wald mit kahlem Alpendost im Ta-Reliktareal;50*Re 51Re;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;51 50*;;50* ;Im Tannen-Reliktareal
51;51;Y;Galio-Abieti-Piceetum typicum;Typischer Labkraut-Tannen-Fichtenwald;Typischer Labkraut-Ta-Fi-Wald;Pessière-Sapinière à  Gaillet typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;51;Typischer Labkraut-Ta-Fi-Wald;51 50*;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;51 50*;;51;"Mit wenig oder ohne Hasel; ohne anstehendem Fels; im Tannen-Haupt- oder Nebenareal"
51.0000003;51Re   ;Y;Galio-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Labkraut-Tannen-Fichtenwald im Tannen-Reliktareal;Typischer Labkraut-Ta-Fi-Wald im Ta-Reliktareal;Pessière-Sapinière à  Gaillet typique dans l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;51Re;Typischer Labkraut-Ta-Fi-Wald im Ta-Reliktareal;50*Re 51Re;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;51 50*;;51;"Mit wenig oder ohne Hasel; ohne anstehendem Fels; im Tannen-Reliktareal"
51.000003;51Fe   ;Y;"Galio-Abieti-Piceetum typicum; Ausbildung auf Fels";Typischer Labkraut-Tannen-Fichtenwald auf Fels;Typischer Labkraut-Ta-Fi-Wald auf Fels;Pessière-Sapinière à  Gaillet typique sur rochers;;;;;;;;;;;;;;;x;;51Fe;Typischer Labkraut-Ta-Fi-Wald auf Fels;51 50*;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;;;51;"Mit wenig oder ohne Hasel; mit anstehendem Fels; im Tannen-Haupt- oder Nebenareal"
51.00002;51C    ;Y;Galio-Abieti-Piceetum coryletosum;Labkraut-Tannen-Fichtenwald mit Hasel;Labkraut-Ta-Fi-Wald mit Hasel;Pessière-Sapinière à  Gaillet avec noisetier;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;51C;Labkraut-Ta-Fi-Wald mit Hasel;51C 52T;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;51C;;51;Mit viel Hasel
52;52;Y;Adenostylo glabrae-Abieti-Piceetum caricetosum albae;Karbonat-Tannen-Fichtenwald mit Weisssegge;Karbonat-Ta-Fi-Wald mit Weisssegge;Pessière-Sapinière à  Laiche blanche;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;52;Karbonat-Ta-Fi-Wald mit Weisssegge;52;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;52;;52;"Mit wenig oder ohne Hasel; mit anstehendem Fels; im Tannen-Haupt- oder Nebenareal"
52.0000003;52Re   ;Y;Adenostylo glabrae-Abieti-Piceetum caricetosum albae im Tannen-Reliktareal;Karbonat-Tannen-Fichtenwald mit Weisssegge im Tannen-Reliktareal;Karbonat-Ta-Fi-Wald mit Weisssegge im Ta-Reliktareal;Pessière-Sapinière à  Laiche blanche dans l'aire rélictuelle du Sapin;;;;;;;;;;;;;;;x;;52Re;Karbonat-Ta-Fi-Wald mit Weisssegge im Ta-Reliktareal;52Re;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;52;;52;"Mit wenig oder ohne Hasel; mit anstehendem Fels; im Tannen-Reliktareal"
52.00013;52T    ;Y;Adenostylo glabrae -Abieti-Piceetum caricetosum albae mit Tilia cordata;Karbonat-Tannen-Fichtenwald mit Winterlinde;Karbonat-Ta-Fi-Wald mit Winterlinde;Pessière-Sapinière à  Laiche blanche avec tilleul à  petites feuilles;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;52T;Karbonat-Ta-Fi-Wald mit Winterlinde;51C 52T;TAFIM;Tanne-Fichte mittel;Tannen-Fichtenwälder;;;52;Mit viel Hasel
53;53;Y;Polygalo chamaebuxi-Piceetum;Typischer Zwergbuchs-Fichtenwald;Typischer Zwergbuchs-Fi-Wald;Pessière à  Polygala petit buis;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;53;Zwergbuchs-Fichten-Wald;53;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;53;;53;"Ohne Tanne. Keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
53.0000001;53Lä  ;Y;"Polygalo chamaebuxi-Piceetum; Lärchenausbildung";"Typischer Zwergbuchs-Fichtenwald; Lärchenausbildung";"Typischer Zwergbuchs-Fi-Wald; Lärchenausbildung";Pessière à  Polygala petit buis avec Mélèze;;;;;;;;;Y;Y;;;;;x;;53Lae;Zwergbuchs-Fichtenwald mit Lärche;53Lä;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;;;53;"Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
53.0000002;53Ta   ;Y;Polygalo chamaebuxi-Piceetum mit Tanne;Typischer Zwergbuchs-Fichtenwald mit Tanne;Typischer Zwergbuchs-Fi-Wald mit Tanne;Pessière à  Polygala petit buis avec Sapin;;;;;;;;;Y;;;;;;x;;53Ta;Zwergbuchs-Fichtenwald mit Tanne;53Ta;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;53;;53;"Mit Tanne. Keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
53.00001;53A    ;Y;Polygalo chamaebuxi-Piceetum aposeritetosum;Zwergbuchs-Fichtenwald mit Hainlattich;Zwergbuchs-Fi-Wald mit Hainlattich;Pessière à  Polygala petit buis avec Aposéris;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;53A;Zwergbuchs-Fichten-Wald mit Hainlattich;53A;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;;"Neues Anforderungsprofil. Verjüngung auf Moderholz und Minerlaerde; Keine Verjüngung unter Schirm. Viel Sonne kein Problem; recht verjüngungsgünstig. ";keine Zuordung möglich;
53.0000102;53ATa  ;Y;Polygalo chamaebuxi-Piceetum aposeritetosum mit Tanne;Zwergbuchs-Fichtenwald mit Hainlattich und Tanne;Zwergbuchs-Fi-Wald mit Hainlattich und Tanne;Pessière à  Polygala petit buis avec Aposéris et Sapin;;;;;;;;;Y;Y;;;;;x;;53ATa;"Zwergbuchs-Fichten-Wald mit Hainlattich; mit Tanne";53ATa;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;;"Neues Anforderungsprofil. Verjüngung auf Moderholz und Mineralerde; Keine Verjüngung unter Schirm. Viel Sonne kein Problem; recht verjüngungsgünstig. ";keine Zuordung möglich;
53.1;53*    ;Y;Erico-Piceetum typicum;Erika-Fichtenwald;Erika-Fi-Wald;Pessière à  Bruyère;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;53Stern;Erika-Fichtenwald;53*;FIHT;Fichte hochmontan trocken;Fichtendominierte Wälder hochmontan;53*;;53*;"Ohne Tanne; hochmontan"
53.1000002;53*Ta  ;Y;Erico-Piceetum typicum mit Tanne;Erika-Fichtenwald mit Tanne;Erika-Fi-Wald mit Tanne;Pessière à  Bruyère avec Sapin;;;;;;;;;Y;Y;;;;;x;;53SternTa;Erika-Fichtenwald mit Ta;53*Ta;FIHT;Fichte hochmontan trocken;Fichtendominierte Wälder hochmontan;;;53*;"Mit Tanne; hochmontan"
53.100001;53*s   ;Y;"Erico-Piceetum typicum; subalpine Ausbildung";"Erika-Fichtenwald; subalpine Ausbildung";"Erika-Fi-Wald; subalpine Ausbildung";"Pessière à  Bruyère; variante subalpine";;;;;;;;;;;;;;;x;;53Sterns;"Erika-Fichtenwald; subalpine Ausbildung";53*s;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;;"neues Anforderungsprofil ähnlich wie 53*; aber Bergföhre anstatt Waldföhre";53* ;"Subalpin. Keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
53.1000011;53*sLä;Y;"Erico-Piceetum typicum; subalpine Lärchenausbildung";"Erika-Fichtenwald; subalpine Lärchenausbildung";"Erika-Fi-Wald; subalpine Lärchenausbildung";"Pessière à  Bruyère; variante subalpine à  Mélèze dominant ";;;;;;;;;;;;;;;x;;53SternsL;"Erika-Fichtenwald; subalpine Lärchenausbildung";53*s;FISB;Fichte subalpin basisch;Fichtendominierte Wälder subalpin;;"neues Anforderungsprofil ähnlich wie 53*; aber Bergföhre anstatt Waldföhre";53* ;"Subalpin. Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
54;54;Y;Melico-Piceetum typicum;Typischer Perlgras-Fichtenwald;Typischer Perlgras-Fi-Wald;Pessière à  Mélique typique;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;54;Typischer Perlgras-Fichtenwald;54 54A 55;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;54 55;;54;ohne Clemaits alpina
54.00001;54A    ;Y;Melico-Piceetum atragenetosum;Perlgras-Fichtenwald mit Atragene;Perlgras-Fi-Wald mit Atragene;Pessière à  Mélique avec Clématite des Alpes;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;54A;Perlgras-Fichtenwald mit Atragene;54 54A 55;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;;;54;mit Clematis alpina
55;55;Y;Veronico latifoliae-Piceetum;Ehrenpreis-Fichtenwald;Ehrenpreis-Fi-Wald;Pessière à  Véronique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;55;Ehrenpreis-Fichtenwald;54 54A 55;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;54 55;;55;"Keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
55.0000001;55Lä  ;Y;"Veronico latifoliae-Piceetum; Lärchenausbildung";"Ehrenpreis-Fichtenwald; Lärchenausbildung";"Ehrenpreis-Fi-Wald; Lärchenausbildung";"Pessière à  Véronique; variante à  Mélèze dominant";;;;;;;;;;;;;;;x;;55Lae;"Ehrenpreis-Fichtenwald; Lärchenausbildung";55Lä;FIHM;Fichte hochmontan mittel;Fichtendominierte Wälder hochmontan;;;55;"Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
55.1;55*    ;Y;Luzulo niveae-Piceetum;Schneesimsen-Fichtenwald;Schneesimsen-Fi-Wald;Pessière à  Luzule blanc-de-neige;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;55Stern;Schneesimsen-Fi-Wald;55*;FIHT;Fichte hochmontan trocken;Fichtendominierte Wälder hochmontan;55*;;55*;"Ohne Tanne; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
55.1000001;55*Lä ;Y;"Luzulo niveae-Piceetum; Lärchenausbildung";"Schneesimsen-Fichtenwald; Lärchenausbildung";"Schneesimsen-Fi-Wald; Lärchenausbildung";"Pessière à  Luzule blanc-de-neige; variante à  Mélèze dominant";;;;;;;;;;;;;;;x;;55SternLa;Schneesimsen-Fi-Wald mit Lärche;55*Lä;FIHT;Fichte hochmontan trocken;Fichtendominierte Wälder hochmontan;;;55* ;"Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
55.1000002;55*Ta  ;Y;Luzulo niveae-Piceetum mit Tanne;Schneesimsen-Fichtenwald mit Tanne;Schneesimsen-Fi-Wald mit Tanne;Pessière à  Luzule blanc-de-neige avec Sapin;;;;;;;;;Y;Y;;;;;x;;55SternTa;Schneesimsen-Fi-Wald mit Tanne;55*Ta;FIHT;Fichte hochmontan trocken;Fichtendominierte Wälder hochmontan;;;55*;"Mit Tanne; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
56;56;Y;Sphagno-Piceetum;Moorrand-Fichtenwald;Moorrand-Fi-Wald;Pessière à  Sphaignes typique;;x;;;Y;;Y;;Y;;Y;;;;x;x;56;Moorrand-Fichtenwald;56;M;Moor;Moorwälder;e;;56;
57.000002;57Bl   ;Y;"Homogyno-Piceetum; Blockausbildung";"Alpenlattich-Fichtenwald; Blockausbildung";"Alpenlattich-Fi-Wald; Blockausbildung";"Pessière à  Homogyne typique; var. à  gros blocs";;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;57Bl;"Alpenlattich-Fichtenwald; Blockausbildung";57Bl;FISMOF;Fichte subalpin Moderholz feucht;Fichtendominierte Wälder subalpin;57Bl;;57;"Mit Blockschutt; ohne Tanne"
57.0000022;57BlTa ;Y;"Homogyno-Piceetum; Blockausbildung mit Tanne";"Alpenlattich-Fichtenwald; Blockausbildung; mit Tanne";"Alpenlattich-Fi-Wald; Blockausbildung; mit Tanne";Pessière à  Homogyne typique sur gros blocs avec Sapin;;;;;;;;;Y;Y;;;;;x;;57BlTa;"Alpenlattich-Fichtnewald; Blockausbildung; mit Tanne";57BlTa;FISMOF;Fichte subalpin Moderholz feucht;Fichtendominierte Wälder subalpin;;;57;"Mit Blockschutt; mit Tanne"
57.00002;57C    ;Y;Homogyno-Piceetum calamagrostietosum villosae;Alpenlattich-Fichtenwald mit Wollreitgras;Alpenlattich-Fi-Wald mit Wollreitgras;Pessière à  Homogyne avec Calamagrostide velue;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;57C;Alpenlattich-Fichtenwald mit Wollreitgras;57C 57V 57VM;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;57V 57C;;57;"Calamagrostis villosa dominiert; ohne Tanne; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
57.0000201;57CLä ;Y;"Homogyno-Piceetum calamagrostietosum villosae; Lärchenausbildung";"Alpenlattich-Fichtenwald mit Wollreitgras; Lärchenausbildung";"Alpenlattich-Fi-Wald mit Wollreitgras; Lärchenausbildung";"Pessière à  Homogyne avec Calamagrostide velue; variante à  Mélèze dominant";;;;;;;;;Y;Y;;;;;x;;57CLae;Alpenlattich-Fichtenwald mit Wollreitgras mit Lärche;57CLä 57VLä;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;;;57;"Calamagrostis villosa dominiert; Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
57.0000202;57CTa  ;Y;Homogyno-Piceetum calamagrostietosum villosae mit Tanne;Alpenlattich-Fichtenwald mit Wollreitgras und Tanne;Alpenlattich-Fi-Wald mit Wollreitgras und Tanne;Pessière à  Homogyne avec Calamagrostide velue et Sapin;;;;;;;;;Y;Y;;;;;x;;57CTa;Alpenlattich-Fichtenwald mit Wollreitgras und Tanne;57CTa 57VTa;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;;;57;"Calamagrostis villosa dominiert; mit Tanne; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
57.00007;57M    ;Y;Homogyno-Piceetum melampyretosum sylvatici;Alpenlattich-Fichtenwald mit Waldwachtelweizen;Alpenlattich-Fi-Wald mit Waldwachtelweizen;Pessière à  Homogyne avec Mélampyre;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;57M;Alpenlattich-Fichtenwald mit Waldwachtelweizen;57M;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;57M;;57;Mit Waldwachtelweizen
57.00012;57S    ;Y;Homogyno-Piceetum sphagnetosum;Alpenlattich-Fichtenwald mit Torfmoos;Alpenlattich-Fi-Wald mit Torfmoos;Pessière à  Homogyne avec Sphaignes;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;57S;Alpenlattich-Fichtenwald mit Torfmoos;57S;FISMOF;Fichte subalpin Moderholz feucht;Fichtendominierte Wälder subalpin;57S;;57;"Mit Sphagnum; ohne Tanne"
57.0001202;57STa  ;Y;Homogyno-Piceetum sphagnetosum mit Tanne;Alpenlattich-Fichtenwald mit Torfmoos und Tanne;Alpenlattich-Fi-Wald mit Torfmoos und Tanne;Pessière à  Homogyne avec Sphaignes et Sapin;;;;;;;;;Y;Y;;;;;x;;57STa;Alpenlattich-Fichtenwald mit Torfmoos und Tanne;57STa;FISMOF;Fichte subalpin Moderholz feucht;Fichtendominierte Wälder subalpin;;;57;"Mit Sphagnum; mit Tanne"
57.00014;57V    ;Y;Homogyno-Piceetum vaccinietosum myrtilli;Alpenlattich-Fichtenwald mit Heidelbeere;Alpenlattich-Fi-Wald mit Heidelbeere;Pessière à  Homogyne avec Myrtille;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;57V;Alpenlattich-Fichtenwald mit Heidelbeere;57C 57V 57VM;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;57V 57C;;57;"Vaccinium myrtillus dominiert; ohne Tanne; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
57.0001401;57VLä ;Y;"Homogyno-Piceetum vaccinietosum myrtilli; Lärchenausbildung";"Alpenlattich-Fichtenwald mit Heidelbeere; Lärchenausbildung";"Alpenlattich-Fi-Wald mit Heidelbeere; Lärchenausbildung";"Pessière à  Homogyne avec Myrtille; variante à  Mélèze dominant";;;;;;;;;Y;Y;;;;;x;;57VLae;Alpenlattich-Fichtenwald mit Heidelbeere mit Lärche;57CLä 57VLä;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;;;57;"Vaccinium myrtillus dominiert; Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
57.0001402;57VTa  ;Y;Homogyno-Piceetum vaccinietosum myrtilli mit Tanne;Alpenlattich-Fichtenwald mit Heidelbeere und Tanne;Alpenlattich-Fi-Wald mit Heidelbeere und Tanne;Pessière à  Homogyne typique avec Sapin;;;;;;;;;Y;Y;;;;;x;;57VTa;Alpenlattich-Fichtenwald mit Heidelbeere und Tanne;57CTa 57VTa;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;;;57;"Vaccinium myrtillus dominiert; mit Tanne; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
57.00018;57VM   ;Y;Homogyno-Piceetum valerianetosum montanae;Alpenlattich Fichtenwald mit Bergbaldrian;Alpenlattich Fi-Wald mit Bergbaldrian;Pessière à  Homogyne avec Valériane;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;57VM;Alpenlattich Fichtenwald mit Bergbaldrian;57C 57V 57VM;FISMOM;Fichte subalpin Moderholz mittel;Fichtendominierte Wälder subalpin;;;57;Mit Valeriana montana
58;58;Y;Larici-Piceetum typicum;Typischer Preiselbeer-Fichtenwald;Typischer Preiselbeer-Fi-Wald;Pessière à  Airelle typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;58;Typischer Preiselbeer-Fi-Wald;58;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;58;;58;"Ohne Blockschutt; ohne Laserpitium halleri; ohne anstehendem Fels; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
58.0000001;58Lä  ;Y;"Larici-Piceetum typicum; Lärchenausbildung";"Typischer Preiselbeer-Fichtenwald; Lärchenausbildung";"Typischer Preiselbeer-Fi-Wald; Lärchenausbildung";Pessière à  Airelle typique avec Mélèze;;;;;;;;;Y;Y;;;;;x;;58Lae;Typischer Preiselbeer-Fi-Wald mit Lärche;58Lä;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;;;58;"Ohne Blockschutt; ohne Laserpitium halleri; Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
58.000002;58Bl   ;Y;"Larici-Piceetum typicum; Blockausbildung";"Preiselbeer-Fichtenwald; Blockausbildung";"Preiselbeer-Fi-Wald; Blockausbildung";Pessière à  Airelle sur gros blocs;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;58Bl;"Preiselbeer-Fichtenwald; Blockausbildung";58Bl;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;;"kein Anforderungsprofil; da keine Pflegeeingriffe notwendig";58;Mit Blockschutt
58.000003;58Fe   ;Y;"Larici-Piceetum typicum; Ausbildung auf Fels";Typischer Preiselbeer-Fichtenwald auf Fels;Typischer Preiselbeer-Fi-Wald auf Fels;Pessière à  Airelle typique sur rochers;;;;;;;;;;;;;;;x;;58Fe;Alpenlattich-Fichtenwald mit Wollreitgras mit Lärche;58;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;;;58;"Ohne Blockschutt; ohne Laserpitium halleri; mit anstehendem Fels;  keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
58.00002;58C    ;Y;Larici-Piceetum calamagrostietosum villosae;Preiselbeer-Fichtenwald mit Wollreitgras;Preiselbeer-Fi-Wald mit Wollreitgras;Pessière à  Airelle avec Calamagrostide velue;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;58C;Preiselbeer-Fi-Wald mit Wollreitgras;58C;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;58C;;58;"Ohne Blockschutt; mit viel Calamagrostis villosa"
58.00006;58L    ;Y;Larici-Piceetum laserpitietosum halleri;Preiselbeer-Fichtenwald mit Laserkraut;Preiselbeer-Fi-Wald mit Laserkraut;Pessière à  Airelle avec Laser;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;58L;Preiselbeer-Fi-Wald mit Laserkraut;58L;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;58L;;58;"Ohne Blockschutt; mit Laserpitium halleri; keine Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
58.0000601;58LLä ;Y;"Larici-Piceetum laserpitietosum halleri; Lärchenausbildung";"Preiselbeer-Fichtenwald mit Laserkraut; Lärchenausbildung";"Preiselbeer-Fi-Wald mit Laserkraut; ; Lärchenausbildung";"Pessière à  Airelle avec Laser; variante à  Mélèze dominant";;;;;;;;;;;;;;;x;;58LLae;Preiselbeer-Fi-Wald mit Laserkraut mit Lärche;58LLä;FISMI;Fichte subalpin Mineralderde;Fichtendominierte Wälder subalpin;;;58;"Ohne Blockschutt; mit Laserpitium halleri; Schneebewegungen vorhanden; die das Aufkommen von Fichten verhindern."
59;59;Y;Larici-Pinetum cembrae typicum;Lärchen-Arvenwald mit Alpenrose;Lärchen-Arvenwald mit Alpenrose;Arolière à  Rhododendron;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;59;Lärchen-Arvenwald mit Alpenrose;59 59V;LAAV;Lärche-Arve;Arven- und Lärchenwälder;59 59V;;59 Larici-Pinetum cembrae ;"Ohne Laserpitium halleri; Rhododendron ferrugineum dominiert; keine Schneebewegungen vorhanden; die das Aufkommen von Arven verhindern."
59.0000001;59Lä  ;Y;"Larici-Pinetum cembrae typicum; Lärchenausbildung";"Lärchen-Arvenwald mit Alpenrose; Lärchenausbildung";"Lärchen-Arvenwald mit Alpenrose; Lärchenausbildung";"Arolière à  Rhododendron; variante à  Mélèze dominant";;;;;;;;;Y;Y;;;;;x;;59Lae;Lärchen-Arvenwald mit Alpenrose mit Lärche;59Lä 59VLä;LAAV;Lärche-Arve;Arven- und Lärchenwälder;;;59 Larici-Pinetum cembrae ;"Ohne Laserpitium halleri; Rhododendron ferrugineum dominiert; Schneebewegungen vorhanden; die das Aufkommen von Arven verhindern."
59.00001;59A    ;Y;Adenostylo-Laricetum;Hochstauden-Lärchenwald;Hochstauden-Lärchenwald;Mélézin à  Adénostyle;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;59A;Hochstauden-Lärchenwald;59A;LAE;Lärche ;Arven- und Lärchenwälder;e;;59 Adenostylo-Laricetum ;
59.00002;59C    ;Y;Cotoneastro-Pinetum cembrae;Steinmispel-Arvenwald;Steinmispel-Arvenwald;Arolière à  Cotonéaster;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;59C;Steinmispel-Arvenwald;59C 59E 59H 72;LAAVE;Lärche-Arve extrem;Arven- und Lärchenwälder;e;;59*;
59.00004;59E    ;Y;Larici- Pinetum cembrae ericetosum;Lärchen-Arvenwald mit Erika;Lärchen-Arvenwald mit Erika;Arolière à  Bruyère;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;59E;Lärchen-Arvenwald mit Erika;59C 59E 59H 72;LAAVE;Lärche-Arve extrem;Arven- und Lärchenwälder;e;;keine Zuordung möglich;
59.0000401;59ELä ;Y;"Larici- Pinetum cembrae ericetosum; Lärchenausbildung";"Lärchen-Arvenwald mit Erika; Lärchenausbildung";"Lärchen-Arvenwald mit Erika; Lärchenausbildung";"Arolière à  Bruyère; variante à  Mélèze dominant";;;;;;;;;;;;;;;x;;59ELae;"Lärchen-Arvenwald mit Erika; Lärchenausbildung";59ELä;LAAVE;Lärche-Arve extrem;Arven- und Lärchenwälder;;;keine Zuordung möglich;
