NAISTYP_SORT; NAISTYP_C; NAISTYP_S20; NAISTYP_NAME_LAT; NAISTYP_NAME_DEU; NAISTYP_NAMK_DEU; NAISTYP_NAME_FRZ; NAISTYP_NAMK_FRZ; NTYP_C_ANHANG2A; NTYP_C_BSCHR_SEP; NTYP_C_BSCHR_TI; NTYP_W_B_ETAP1; NTYP_W_B_ETAP2; NTYP_G_P_ETAP1; NTYP_G_P_ETAP2; NTYP_BS_ETAP1; NTYP_BS_ETAP2; NTYP_SSKSMS_ETA1; NTYP_SSKSMS_ETA2; NTYP_DELARZE08; NTYP_C_ABGES; NTYP_C_GFX_ORT; NTYP_C_GFX_BODEN; NAISTYP_GFX; NAISTYP_WGES; NAISTYP_ANFP; NAISTYP_GFK; NAISTYP_GFEI; NAISTYP_GRB; NAISTYP_ANFP_05; NAISTYP_BEM; NTYP_NATP_ABK; NTYP_NATP_BED
11;11;Y;Aro-Fagetum;Aronstab-Buchenwald;Aronstab-Bu-Wald;Hêtraie à  Gouet;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;11;Aronstab-Bu-Wald;7S 11;BUF;Buche feucht;Buchenwälder;7S 11;;11;Ohne anstehendem  Fels
11.000003;11Fe   ;Y;"Aro-Fagetum; Ausbildung auf Fels";Aronstab-Buchenwald auf Fels;Aronstab-Bu-Wald auf Fels;Hêtraie à  Gouet sur rochers;;;;;;;;;;;;;;;x;;11Fe;Aronstab-Bu-Wald auf Fels;7S 11;BUF;Buche feucht;Buchenwälder;;;11;Mit anstehendem Fels
12.00012;12S    ;Y;Mercuriali-/Cardamino-Fagetum circaetosum;Feuchter Bingelkraut-/Zahnwurz-Buchenwald;Feuchter Bingelkraut-/Zahnwurz-Bu-Wald;Hêtraie à  Dentaire avec Épiaire des forêts;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;12S;Feuchter Bingelkraut-/Zahnwurz-Bu-Wald;8S 12S;BUF;Buche feucht;Buchenwälder;8S 12S;;12;"Mit Feuchtezeigern; ohne anstehendem Fels"
12.000123;12SFe  ;Y;"Mercuriali-/Cardamino-Fagetum circaetosum; Ausbildung auf Fels";Feuchter Bingelkraut-/Zahnwurz-Buchenwald auf Fels;Feuchter Bingelkraut-/Zahnwurz-Bu-Wald auf Fels;Hêtraie à  Dentaire avec Épiaire des forêts sur rochers;;;;;;;;;;;;;;;x;;12SFe;Feuchter Bingelkraut-/Zahnwurz-Bu-Wald auf Fels;8S 12S;BUF;Buche feucht;Buchenwälder;;;12;"Mit Feuchtezeigern; mit anstehendem Fels"
12.001;12a    ;Y;Mercuriali-/Cardamino-Fagetum typicum;Typischer Bingelkraut-/Zahnwurz-Buchenwald;Typischer Bingelkraut-/Zahnwurz-Bu-Wald;Hêtraie à  Dentaire typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;12a;Typischer Bingelkraut-/Zahnwurz-Bu-Wald;8d 8a 12a;BUUM;Buche untermontan mittel;Buchenwälder;8a 12a;;12;"Ohne Feuchtezeiger; ohne Trockenheitszeiger; ohne Wechselfeuchtigkeitszeiger; ohne anstehendem Fels"
12.001003;12aFe  ;Y;"Mercuriali-/Cardamino-Fagetum typicum; Ausbildung auf Fels";Typischer Bingelkraut-/Zahnwurz-Buchenwald auf Fels;Typischer Bingelkraut-/Zahnwurz-Bu-Wald auf Fels;Hêtraie à  Dentaire typique sur rochers;;;;;;;;;;;;;;;x;;12aFe;Typischer Bingelkraut-/Zahnwurz-Bu-Wald auf Fels;8d 8a 12a;BUUM;Buche untermontan mittel;Buchenwälder;;;12;"Ohne Feuchtezeiger; ohne Trockenheitszeiger; ohne Wechselfeuchtigkeitszeiger; mit anstehendem Fels"
12.005;12e    ;Y;Mercuriali-/Cardamino-Fagetum caricetosum albae;Trockener Bingelkraut-/Zahnwurz-Buchenwald;Trockener Bingelkraut-/Zahnwurz-Bu-Wald;Hêtraie à  Dentaire avec Laiche blanche;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;12e;Trockener Bingelkraut-/Zahnwurz-Bu-Wald;12e 12w;BUUM;Buche trocken;Buchenwälder;12e 12w;;12;"Mit Trockenheitszeigern; ohne Wechselfeuchtigkeitszeigern"
12.014;12w    ;Y;Mercuriali-/Cardamino-Fagetum caricetosum flaccae;Wechselfeuchter Bingelkraut-/Zahnwurz-Buchenwald;Wechselfeuchter Bingelkraut-/Zahnwurz-Bu-Wald;Hêtraie à  Dentaire avec Laiche glauque;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;12w;Wechselfeuchter Bingelkraut-/Zahnwurz-Bu-Wald;12e 12w;BUUM;Buche trocken;Buchenwälder;12e 12w;;12;Mit Wechselfeuchtigkeitszeigern
12.1;12*    ;Y;Cardamino-Fagetum insubricum sl.;Mesophiler insubrischer Kalk-Buchenwald;Mesophiler insubrischer Kalk-Bu-Wald;Hêtraie mésophile insubrienne sur calcaire;;x;;;Y;;Y;;Y;;Y;;;;x;;12Stern;Mesophiler insubrischer Kalk-Bu-Wald;12*;BUUM;Buche untermontan mittel;Buchenwälder;12*;;12*;Unterhalb ca 1400 m über Meer
12.109;12*h   ;Y;Cardamino-Fagetum veratretosum;Kalk-Buchenwald der insubrischen Gebirge;Kalk-Bu-Wald der insubrischen Gebirge;"Hêtraie insubrienne sur calcaire; variante d'altitude";;x;;;Y;;Y;;Y;;Y;;;;x;;12Sternh;Kalk-Bu-Wald der insubrischen Gebirge;12*h;TABUS;Tanne-Buche mittel;Buchenwälder;12*h;;12*;Oberhalb ca 1400 m über Meer
13.001;13a    ;Y;Tilio-Fagetum typicum;Typischer Linden-Buchenwald;Typischer Linden-Bu-Wald;Hêtraie à  Tilleul typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;13a;Typischer Linden-Bu-Wald;13a;BUS;Buche Schutt;Buchenwälder;13a;;13;"Ohne  Trockenheitszeigern;  ohne anstehendem Fels; Region J; M; 1; 2a"
13.001003;13aFe  ;Y;"Tilio-Fagetum typicum; Ausbildung auf Fels";Typischer Linden-Buchenwald auf Fels;Typischer Linden-Bu-Wald auf Fels;Hêtraie à  Tilleul typique sur rochers;;;;;;;;;;;;;;;x;;13aFe;Typischer Linden-Bu-Wald auf Fels;13a;BUS;Buche Schutt;Buchenwälder;;;13;"Ohne  Trockenheitszeigern;  mit anstehendem Fels; Region J; M; 1; 2a"
13.005;13e    ;Y;Tilio-Fagetum caricetosum albae;Trockener Linden-Buchenwald;Trockener Linden-Bu-Wald;Hêtraie à  Tilleul avec Laiche blanche;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;13e;Trockener Linden-Bu-Wald;13e;BUS;Buche Schutt;Buchenwälder;13e ;;13;"Mit Trockenheitszeigern; Region J; M; 1; 2a"
13.006;13eh   ;Y;Adenostylo-Fagetum seslerietosum;Trockener Alpendost-Buchenwald;Trockener Alpendost-Bu-Wald;Hêtraie à  Adénostyle avec Seslérie;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;13eh;Trockener Alpendost-Bu-Wald;13eh;TABUS;Tanne-Buche Schutt;Tannen-Buchenwälder;13eh;;13*;"Mit Trockenheitszeigern; Region J; M; 1; 2a"
13.009;13h    ;Y;Adenostylo-Fagetum typicum;Typischer Alpendost-Buchenwald;Typischer Alpendost-Bu-Wald;Hêtraie à  Adénostyle typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;13h;Typischer Alpendost-Bu-Wald;13h;TABUS;Tanne-Buche Schutt;Tannen-Buchenwälder;13h;;13*;"Ohne  Trockenheitszeigern;  ohne anstehendem Fels; Region J; M; 1; 2a"
13.009003;13hFe  ;Y;"Adenostylo-Fagetum typicum; Ausbildung auf Fels";Typischer Alpendost-Buchenwald auf Fels;Typischer Alpendost-Bu-Wald auf Fels;Hêtraie à  Adénostyle typique sur rochers;;;;;;;;;;;;;;;x;;13hFe;Typischer Alpendost-Bu-Wald auf Fels;13h;TABUS;Tanne-Buche Schutt;Tannen-Buchenwälder;;;13*;"Ohne  Trockenheitszeigern;  mit anstehendem Fels; Region J; M; 1; 2a"
13.1;13*    ;Y;"Tilio-Fagetum; insubrische Ausbildung";Insubrischer Linden-Buchenwald ;Insubrischer Linden-Bu-Wald ;Hêtraie à  Tilleul insubrienne;;;;x;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;13Stern;Insubrischer Linden-Bu-Wald ;13*;BUS;Buche Schutt;Buchenwälder;;"neues Anforderungsprofil: 13a mit Stechpalme; Eibe; Laburnum; Kastanie; Kirsche; Bu; Sommer- und Winterlinde";13;Region 5
14;14;Y;Carici (albae)-Fagetum typicum;Seggen-Buchenwald mit Weissegge;Seggen-Bu-Wald mit Weissegge;Hêtraie à  Laiche typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;14;Seggen-Bu-Wald mit Weissegge;10a 10w 14 15;BUT;Buche trocken;Buchenwälder;10a 10w 14 15;;14;" Region J; M; 1; 2a"
14.1;14*    ;Y;Cephelanthero-Fagetum insubricum s. l.;Trockener insubrischer Kalk-Buchenwald;Trockener insubrischer Kalk-Bu-Wald;Hêtraie xérophile insubrienne sur calcaire;;x;;;Y;;Y;;Y;;Y;;;;x;;14Stern;Trockener insubrischer Kalk-Bu-Wald;14*;BUT;Buche trocken;Buchenwälder;14*;;14;Region 5
15;15;Y;Carici-Fagetum caricetosum montanae;Seggen-Buchenwald mit Bergsegge;Seggen-Bu-Wald mit Bergsegge;Hêtraie à  Laiche avec Laiche des montagnes;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;15;Seggen-Bu-Wald mit Bergsegge;10a 10w 14 15;BUT;Buche trocken;Buchenwälder;10a 10w 14 15;;15;
16;16;Y;Seslerio-Fagetum;Typischer Blaugras-Buchenwald;Typischer Blaugras-Bu-Wald;Hêtraie à  Seslérie typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;16;Blaugras-Bu-Wald;16;BUE;Buche extrem;Buchenwälder;;selten Schutzwaldpflege;16;" Region J; M; 1; 2a"
16.1;16*    ;Y;"Seslerio-Fagetum; insubrische Ausbildung";Insubrischer Blaugras-Buchenwald;Insubrischer Blaugras-Bu-Wald;Hêtraie à  Seslérie insubrienne;;;;x;Y;;Y;;Y;;Y;;;;x;;16Stern;Insubrischer Blaugras-Bu-Wald;16*;BUE;Buche extrem;Buchenwälder;;"keine Schutzwaldpflege; 16 mit mehr Hopfenbuche";16;Region 5
17;17;Y;Taxo-Fagetum / Seslerio-Fagetum calamagrostietosum variae;Eiben-Buchenwald/Steilhang-Buchenwald mit Reitgras;Eiben-Bu-Wald/Steilhang-Bu-Wald mit Reitgras;Hêtraie à  If / Hêtraie de pente à  Calamagrostide;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;17;Eiben-Bu-Wald/Steilhang-Bu-Wald mit Reitgras;17;BUT;Buche trocken;Buchenwälder;17;;17;
