id;clnr;x;y;ip5areproz;ip50proz;custom_forest_type_code;custom_transition_forest_type_code;forest_type_code;transition_forest_type_code;altitudinal_zones_1995_code;altitudinal_zones_2085_less_dry_code;altitudinal_zones_2085_dry_code;forest_ecoregion_code;silver_fir_area_code
28022;1419;2717000;1279998;44,10;34,60;N0010.0140000;;10w;;40;40;20;M;1
28023;1419;2717000;1279998;0,00;20,90;N0010.0010000;;10a;;40;40;20;M;1
28024;1419;2717000;1279998;40,10;24,80;N0014.0000000;;14;;40;40;20;M;1
28025;1419;2717000;1279998;10,80;7,20;N0027.0000000;;27;;40;40;20;M;1
28026;1419;2717000;1279998;5,00;12,60;N3001.0000000;;u-1;;40;40;20;M;1
28027;1427;2721002;1280001;19,90;10,70;N3001.0000000;;u-1;;40;40;20;M;1
28028;1427;2721002;1280001;6,30;9,40;N0007.0001200;;7S;;40;40;20;M;1
28029;1427;2721002;1280001;73,80;64,10;N0007.0001200;;7S;;40;40;20;M;1
28030;1427;2721002;1280001;0,00;15,80;N0007.0010000;;7a;;40;40;20;M;1
28031;1431;2722999;1280002;0,00;5,90;N0026.0000000;;26;;40;40;20;M;1
28032;1431;2722999;1280002;4,30;19,80;N0017.0000000;;17;;40;40;20;M;1
28033;1431;2722999;1280002;95,70;74,40;N0007.0010000;N0006.0000000;7a;6;40;40;20;M;1
28034;1563;2679997;1279004;100,00;100,00;N0007.0010000;N0008.0010000;7a;8a;50;40;20;J;1
28035;1580;2696006;1278999;100,00;51,60;N0007.0001200;N0029.0000000;7S;29;40;20;20;M;1
28036;1580;2696006;1278999;0,00;41,30;N0007.0001200;;7S;;40;20;20;M;1
28037;1580;2696006;1278999;0,00;7,00;N3001.0000000;;u-1;;40;20;20;M;1
28038;1584;2698002;1278998;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28039;1592;2702004;1279001;100,00;100,00;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28040;1596;2703999;1278997;100,00;85,80;N0009.0010000;;9a;;40;20;20;M;1
28041;1596;2703999;1278997;0,00;3,80;N3002.0000000;;u-2;;40;20;20;M;1
28042;1596;2703999;1278997;0,00;10,40;N0007.0010000;;7a;;40;20;20;M;1
28043;1604;2708001;1278995;40,60;49,90;N3009.0000000;;u-9;;40;20;20;M;1
28044;1604;2708001;1278995;59,40;50,10;N0029.0000100;;29A;;40;20;20;M;1
28045;1612;2714005;1279003;0,00;4,20;N0009.0010000;;9a;;40;40;20;M;1
28046;1612;2714005;1279003;100,00;95,80;N0007.0010000;;7a;;40;40;20;M;1
28047;1620;2718001;1279002;18,90;31,40;N0008.0001200;;8S;;50;40;20;M;1
28048;1620;2718001;1279002;81,10;68,60;N0008.0010000;;8a;;50;40;20;M;1
28049;1624;2719999;1279003;28,40;27,90;N3002.0000000;;u-2;;50;40;20;M;1
28050;1624;2719999;1279003;1,20;11,90;N0008.0001200;;8S;;50;40;20;M;1
28051;1624;2719999;1279003;14,80;10,40;N0026.0000000;;26;;50;40;20;M;1
28052;1624;2719999;1279003;27,30;17,90;N0008.0010000;;8a;;50;40;20;M;1
28053;1624;2719999;1279003;28,30;31,90;N0008.0001200;;8S;;50;40;20;M;1
28054;1628;2722006;1279005;0,00;11,30;N0008.0001200;N0026.0000000;8S;26;50;40;20;M;1
28055;1628;2722006;1279005;100,00;88,70;N0008.0001200;;8S;;50;40;20;M;1
28056;1636;2726000;1279001;88,90;69,90;N0009.0010000;;9a;;40;40;20;M;1
28057;1636;2726000;1279001;11,10;30,10;N0007.0010000;N0009.0010000;7a;9a;40;40;20;M;1
28058;1779;2679002;1278003;30,60;42,70;N0014.0000000;;14;;40;40;20;J;1
28059;1779;2679002;1278003;69,40;57,30;N0013.0050000;;13e;;40;40;20;J;1
28060;1799;2695003;1278000;0,00;22,90;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28061;1799;2695003;1278000;100,00;77,10;N0007.0001200;;7S;;40;20;20;M;1
28062;1803;2697004;1277997;48,40;44,50;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28063;1803;2697004;1277997;51,60;55,50;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28064;1807;2699004;1278003;65,30;61,10;N0007.0010000;;7a;;40;20;20;M;1
28065;1807;2699004;1278003;34,70;38,90;N0009.0010000;;9a;;40;20;20;M;1
28066;1815;2703006;1278005;100,00;100,00;N0007.0010000;;7a;;40;40;20;M;1
28067;1819;2705006;1278002;100,00;100,00;N0007.0010000;;7a;;40;20;20;M;1
28068;1823;2707001;1277999;25,10;35,70;N0026.0000000;;26;;40;20;20;M;1
28069;1823;2707001;1277999;0,00;4,90;N0010.0010000;;10a;;40;20;20;M;1
28070;1823;2707001;1277999;74,90;35,00;N0010.0010000;;10a;;40;20;20;M;1
28071;1823;2707001;1277999;0,00;24,40;N3001.0000000;;u-1;;40;20;20;M;1
28072;1835;2712999;1277998;67,10;51,90;N0012.0050000;;12e;;50;40;20;M;1
28073;1835;2712999;1277998;32,90;48,10;N0012.0010000;;12a;;50;40;20;M;1
28074;1847;2718996;1278001;84,80;66,00;N0007.0001200;;7S;;50;40;20;M;1
28075;1847;2718996;1278001;1,70;10,20;N3003.0000000;;u-3;;50;40;20;M;1
28076;1847;2718996;1278001;13,50;23,80;N0010.0010000;;10a;;50;40;20;M;1
28077;1867;2729000;1277999;0,00;1,50;N3001.0000000;;u-1;;40;40;20;M;1
28078;1867;2729000;1277999;100,00;98,50;N0011.0000000;;11;;40;40;20;M;1
28079;2010;2690006;1276997;100,00;90,50;N0007.0001200;;7S;;40;20;20;M;1
28080;2010;2690006;1276997;0,00;9,50;N0007.0010000;;7a;;40;20;20;M;1
28081;2046;2708000;1277000;15,70;29,20;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28082;2046;2708000;1277000;32,40;23,70;N0009.0010000;;9a;;40;20;20;M;1
28083;2046;2708000;1277000;51,90;31,00;N0017.0000000;;17;;40;20;20;M;1
28084;2046;2708000;1277000;0,00;16,00;N0026.0000000;;26;;40;20;20;M;1
28085;2054;2711997;1277010;100,00;100,00;N0007.0010000;;7a;;40;40;20;M;1
28086;2074;2721998;1276999;100,00;100,00;N0007.0001200;;7S;;40;40;20;M;1
28087;2082;2726003;1277000;9,20;28,50;N0029.0000000;;29;;50;40;20;M;1
28088;2082;2726003;1277000;90,80;71,50;N0029.0000000;N0007.0010000;29;7a;50;40;20;M;1
28089;2086;2728002;1277003;100,00;100,00;N0007.0001200;;7S;;40;40;20;M;1
28090;2233;2680999;1275996;100,00;100,00;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28091;2240;2688998;1276000;100,00;100,00;N0035.0000000;;35;;20;20;20;M;1
28092;2276;2707000;1276004;73,10;58,60;N0007.0010000;;7a;;40;40;20;M;1
28093;2276;2707000;1276004;26,90;41,40;N0007.0001200;;7S;;40;40;20;M;1
28094;2300;2718998;1276005;100,00;80,20;N0006.0000000;;6;;40;40;20;M;1
28095;2300;2718998;1276005;0,00;19,80;N0007.0001200;;7S;;40;40;20;M;1
28096;2304;2721003;1276000;1,10;12,50;N3001.0000000;;u-1;;40;40;20;M;1
28097;2304;2721003;1276000;98,90;87,50;N0007.0010000;N0006.0000000;7a;6;40;40;20;M;1
28098;2320;2729003;1275999;48,20;49,40;N0007.0001200;;7S;;40;40;20;M;1
28099;2320;2729003;1275999;48,60;23,10;N0027.0000000;;27;;40;40;20;M;1
28100;2320;2729003;1275999;3,10;27,50;N0007.0001200;;7S;;40;40;20;M;1
28101;2324;2731000;1276001;100,00;100,00;N0007.0001200;;7S;;40;40;20;M;1
28102;2332;2735003;1276001;100,00;87,40;N0007.0001200;N0029.0000000;7S;29;40;40;40;M;1
28103;2332;2735003;1276001;0,00;12,60;N0007.0001200;;7S;;40;40;40;M;1
28104;2486;2684003;1275000;100,00;100,00;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28105;2488;2687995;1275000;100,00;100,00;N0035.0000000;N0006.0000000;35;6;40;20;20;M;1
28106;2500;2694003;1275002;0,00;15,60;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
