custom_forest_type_code;forest_type_code;latin;german
N0071.0000000;71;Sphagno-Pinetum montanae;Torfmoos-Bergföhrenwald
N0072.0000000;72;Sphagno-Pinetum cembrae;Nordalpen-Arvenwald
N0072.0000001;72Lä;"Sphagno-Pinetum cembrae; Lärchenausbildung";Nordalpen-Arvenwald, Lärchenausbildung
N0091.0000000;91;Chelidonio-Robinion;Robinienwälder sauer
N0092.0010000;92a;;sonstige Neophytenwälder azonal
N0092.0180000;92z;;sonstige Neophytenwälder zonal
N0093.0000000;93;Lauretum insubricum s. l. ;Insubrische Laurisilven
N1001.0000000;1G;;
N1001.0090000;1hG;;
N1003.0000000;3G;"Luzulo niveae-Fagetum typicum; Gebüschvariante";Typischer Schneesimsen-Bu-Wald, Gebüschvariante
N1003.0000010;3sG;"Luzulo niveae-Fagetum; trockene Ausbildung; Gebüschvariante";Trockener Schneesimsen-Bu-Wald, Gebüschvariante
N1003.0001500;3LVG;;
N1003.0100000;3L/4LG;;
N1003.1000000;3*G;;
N1004.0000000;4G;"Luzulo niveae-Fagetum dryopteridetosum; Gebüschvariante";Farnreicher Schneesimsen-Bu-Wald, Gebüschvariante
N1004.1000000;4*G;;
N1006.0000000;6G;;
N1006.0000030;6FeG;;
N1007.0001200;7SG;;
N1007.0001230;7SFeG;;
N1007.0010000;7aG;;
N1007.0010030;7aFeG;;
N1007.1000000;7*G;;
N1008.0001200;8SG;;
N1008.0001230;8SFeG;;
N1008.0010000;8aG;;
N1008.0010030;8aFeG;;
N1008.0040000;8dG;;
N1008.0040030;8dFeG;;
N1008.1000000;8*G;;
N1009.0010000;9aG;;
N1009.0010030;9aFeG;;
N1009.0140000;9wG;;
N1010.0010000;10aG;;
N1010.0140000;10wG;;
N1011.0000000;11G;;
N1011.0000030;11FeG;;
N1012.0001200;12SG;;
N1012.0001230;12SFeG;;
N1012.0010000;12aG;"Mercuriali-/Cardamino-Fagetum typicum; Gebüschvariante";Typischer Bingelkraut-/Zahnwurz-Bu-Wald, Gebüschvariante
N1012.0010030;12aFeG;;
N1012.0050000;12eG;;
N1012.0140000;12wG;;
N1012.1000000;12*G;;
N1012.1090000;12*hG;;
N1013.0010000;13aG;;
N1013.0010030;13aFeG;;
N1013.0050000;13eG;;
N1013.0060000;13ehG;;
N1013.0090000;13hG;"Adenostylo-Fagetum typicum; Gebüschvariante";Typischer Alpendost-Bu-Wald, Gebüschvariante
N1013.1000000;13*G;;
N1014.0000000;14G;"Carici (albae)-Fagetum typicum; Gebüschvariante";Seggen-Bu-Wald mit Weissegge, Gebüschvariante
N1014.1000000;14*G;;
N1015.0000000;15G;;
N1016.0000000;16G;;
N1016.1000000;16*G;;
N1017.0000000;17G;"Taxo-Fagetum / Seslerio-Fagetum calamagrostietosum variae; Gebüschvariante";Eiben-Bu-Wald/Steilhang-Bu-Wald mit Reitgras, Gebüschvariante
N1018.0000000;18G;"Festuco-Abieti-Fagetum; Gebüschvariante";Waldschwingel-Ta-Bu-Wald, Gebüschvariante
N1018.0000030;18FeG;;
N1018.0000700;18MG;"Adenostyle glabrae-Abieti-Fagetum typicum; Gebüschvariante";Typischer Karbonat-Ta-Bu-Wald, Gebüschvariante
N1018.0140000;18wG;"Adenostylo glabrae Abieti-Fagetum calamagrostietosum variae; Gebüschvariante";Typischer Buntreitgras-Ta-Bu-Wald, Gebüschvariante
N1018.0150000;18vG;"Adenostylo glabrae Abieti-Fagetum calamagrostietosum variae; Ausbildung mit Carex ferruginea; Gebüschvariante";Buntreitgras-Ta-Bu-Wald mit Rostsegge, Gebüschvariante
N1018.1000000;18*G;"Adenostyle glabrae-Abieti-Fagetum caricetosum albae; Gebüschvariante";Karbonat-Ta-Bu-Wald mit Weissegge, Gebüschvariante
N1019.0000000;19G;"Luzulo-Abieti-Fagetum typicum; Gebüschvariante";Typischer Waldsimsen-Ta-Bu-Wald, Gebüschvariante
N1019.0000030;19FeG;;
N1019.0000600;19LG;;
N1019.0002100;19LPG;;
N1019.0010000;19aG;"Luzulo-Abieti-Fagetum calamagrostietosum arundinaceae; Gebüschvariante";Waldsimsen-Ta-Bu-Wald mit Rohrreitgras, Gebüschvariante
N1019.0070000;19fG;;
N1020.0000000;20G;"Adenostylo alliariae-Abieti-Fagetum typicum; Gebüschvariante";Hochstauden-Ta-Bu-Wald, Gebüschvariante
N1020.0000030;20FeG;;
N1020.0000400;20EG;"Adenostylo alliariae-Abieti-Fagetum hordelymetosum; Gebüschvariante";Waldgersten-Ta-Bu-Wald, Gebüschvariante
N1021.0000000;21G;"Aceri-Fagetum; Gebüschvariante";Ahorn-Bu-Wald, Gebüschvariante
N1021.0000600;21LG;;
N1021.1000000;21*G;"Alno viridi-Sorbetum aucupariae; Gebüschvariante";Grünerlen-Vogelbeerwald, Gebüschvariante
N1022.0000000;22G;;
N1022.0000030;22FeG;;
N1022.0000100;22AG;;
N1022.0000200;22CG;;
N1022.1000000;22*G;;
N1023.0000000;23G;"Sorbo-Aceretum; Gebüschvariante";Mehlbeer-Ahornwald, Gebüschvariante
N1023.0000030;23FeG;;
N1023.1000000;23*G;;
N1024.0000000;24G;"Ulmo-Aceretum asperuletosum taurinae; Gebüschvariante";Ulmen-Ahornwald mit Turinermeister, Gebüschvariante
N1024.1000000;24*G;"Ulmo-Aceretum typicum; Gebüschvariante";Typischer Ulmen-Ahornwald, Gebüschvariante
N1024.1000030;24*FeG;;
N1025.0000000;25G;"Asperulo taurinae-Tilietum typicum; Gebüschvariante";Typischer Turinermeister-Lindenwald, Gebüschvariante
N1025.0000030;25FeG;;
N1025.0001700;25OG;;
N1025.0010000;25aG;;
N1025.0020000;25BG;;
N1025.0050000;25eG;;
N1025.0070000;25fG;;
N1025.0170000;25. Aug;;
N1025.1000000;25*G;;
N1026.0000000;26G;;
N1026.0090000;26hG;"Aceri-Fraxinetum; Höhenausbildung; Gebüschvariante";Ahorn-Eschenwald, Höhenausbildung, Gebüschvariante
N1027.0000000;27G;;Bach-Eschenwald, Gebüschvariante
N1027.0001700;27OG;;
N1027.0090000;27hG;"Carici remotae-Fraxinetum; Ausbildung mit Petasites albus; Gebüschvariante";"Bach-Eschenwald, Höhenausbildung; Gebüschvariante"
N1027.1000000;27*G;;
N1028.0000000;28G;;
N1029.0000000;29G;;
N1029.0000100;29AG;;
N1029.0000200;29CG;;
N1029.0090000;29hG;;
N1030.0000000;30G;;
N1031.0000000;31G;;
N1032.0000200;32CG;;
N1032.0001200;32SG;;
N1032.0001400;32VG;"Violo-Alnetum incanae; Gebüschvariante";Obermontaner Grauerlenwald, Gebüschvariante
N1032.1000000;32*G;;
N1033.0001400;33VG;;
N1033.0010000;33aG;;
N1033.0020000;33bG;;
N1033.0100000;33mG;;
N1034.0010000;34aG;;
N1034.0020000;34bG;;
N1034.1000000;34*G;;
N1035.0000000;35G;;
N1035.0000700;35MG;;
N1035.0001100;35QG;;
N1035.0001200;35SG;;
N1035.0010000;35AG;;
N1036.0000000;36G;;
N1037.0000000;37G;;
N1038.0000000;38G;;
N1038.0001200;38SG;;
N1038.1000000;38*G;;
N1039.0000000;39G;;
N1039.1000000;39*G;;
N1040.0000800;40PG;"Corylo-Populetum; Gebüschvariante";Pionier-Aspen-Haselbuschwald, Gebüschvariante
N1040.0000820;40PBlG;"Corylo-Populetum; Blockausbildung; Gebüschvariante";Aspen-Haselbuschwald auf Blockschutt, Gebüschvariante
N1040.1000000;40*G;;
N1041.0000000;41G;;
N1041.1000000;41*G;;
N1042.0000200;42CG;;
N1042.0001100;42QG;;
N1042.0001400;42VG;;
N1042.0110000;42rG;;
N1042.0120000;42BG;;
N1042.0130000;42tG;;
N1043.0000000;43G;;
N1043.0001200;43SG;;
N1043.1000000;43*G;;
N1044.0000000;44G;;
N1045.0000000;45G;;
N1046.0000000;46G;;
N1046.0000700;46MG;;
N1046.0130000;46tG;;
N1046.1000000;46*G;;
N1047.0000000;47G;;
N1047.0000300;47DG;"Calamagrostio-villosae-Abieti-Piceetum dryopteridetosum; Gebüschvariante";Farnreicher Wollreitgras-Ta-Fi-Wald, , Gebüschvariante
N1047.0000700;47MG;"Calamagrostio-villosae-Abieti-Piceetum melampyretosum; Gebüschvariante";Wollreitgras-Ta-Fi-Wald mit Wachtelweizen, Gebüschvariante
N1047.0001600;47HG;"Hypno-Piceetum; Gebüschvariante";Zypressenschlafmoos-Fi-Wald, Gebüschvariante
N1047.1000000;47*G;"Rhododendro-Abietetum; Gebüschvariante";Alpenrosen-Lärchen-Ta-Wald, Gebüschvariante
N1048.0000000;48G;"Asplenio-Abieti-Piceetum; Gebüschvariante";Blockschutt-Tannen-Fichtenwald, Gebüschvariante
N1049.0000000;49G;;
N1049.1000000;49*G;;
