CLNR;x;y;IP5AREPROZ;IP50PROZ;custom_forest_type_code;custom_transition_forest_type_code
3796;2700001;1271005;26,70;10,60;N0029.0000000;
3796;2700001;1271005;10,20;9,10;N0029.0000000;
3796;2700001;1271005;22,40;9,40;N3001.0000000;
3796;2700001;1271005;4,70;31,80;N0011.0000000;
3812;2707996;1271001;0,00;18,50;N3003.0000000;
3812;2707996;1271001;100,00;81,50;N0029.0000200;
3816;2710002;1271000;100,00;100,00;N0029.0000100;
3848;2725992;1270996;0,00;8,00;N0017.0000000;
3848;2725992;1270996;31,00;30,90;N0015.0000000;
3848;2725992;1270996;69,00;61,20;N0009.0010000;
3876;2740003;1271005;100,00;100,00;N0007.0001200;
4113;2629000;1269999;70,10;64,80;N0007.0010000;N0007.0001200
4113;2629000;1269999;29,90;35,20;N0006.0000000;
4117;2631000;1269999;100,00;77,10;N0006.0000000;
4117;2631000;1269999;0,00;22,90;N0007.0010000;
4121;2633004;1270002;100,00;100,00;N0007.0010000;N0007.0001200
4127;2650996;1270001;100,00;94,50;N0009.0010000;
4127;2650996;1270001;0,00;5,50;N0011.0000000;
4131;2653002;1270000;79,00;76,90;N0009.0010000;
4131;2653002;1270000;21,00;23,10;N0008.0010000;
4151;2663004;1270004;0,50;6,80;N0007.0010000;N0009.0010000
4151;2663004;1270004;15,80;29,60;N0011.0000000;
4151;2663004;1270004;83,70;54,20;N0010.0140000;
4151;2663004;1270004;0,00;9,50;N0014.0000000;
4155;2665001;1270003;0,00;24,60;N0012.0140000;N0027.0000000
4155;2665001;1270003;100,00;57,50;N0012.0001200;
4155;2665001;1270003;0,00;17,80;N0011.0000000;
4161;2679002;1269997;0,00;22,40;N3000.0000000;
4161;2679002;1269997;100,00;77,60;N0007.0010000;N0009.0010000
4165;2681003;1270002;0,00;0,50;N3000.0000000;
4165;2681003;1270002;0,00;21,30;N3000.0000000;
4165;2681003;1270002;0,00;15,00;N0007.0010000;N0010.0010000
4165;2681003;1270002;100,00;62,80;N0010.0140000;
4165;2681003;1270002;0,00;0,50;N0007.0010000;N0010.0010000
4193;2694996;1270001;78,60;61,90;N0007.0010000;N0006.0000000
4193;2694996;1270001;21,40;38,10;N0010.0010000;
4197;2697005;1269998;80,60;63,50;N0007.0010000;N0009.0010000
4197;2697005;1269998;19,40;36,50;N3000.0000000;
4221;2709001;1270001;18,90;32,20;N3002.0000000;
4221;2709001;1270001;81,10;67,80;N0029.0000000;N0011.0000000
4225;2711005;1270000;15,30;35,40;N3001.0000000;
4225;2711005;1270000;84,70;64,60;N0029.0000000;N0043.0000000
4233;2715000;1270007;7,60;26,30;N0015.0000000;
4233;2715000;1270007;92,40;48,50;N0007.0010000;N0009.0010000
4233;2715000;1270007;0,00;25,20;N0007.0001200;
4245;2721001;1269999;71,40;64,70;N0007.0010000;N0006.0000000
4245;2721001;1269999;0,00;1,70;N3003.0000000;
4245;2721001;1269999;28,60;33,60;N0007.0001200;
4249;2723004;1270003;100,00;100,00;N0029.0000100;
4273;2735000;1270003;17,10;34,50;N3003.0000000;
4273;2735000;1270003;82,90;65,50;N0007.0001200;N0029.0000000
4289;2743003;1270004;0,00;4,90;N0029.0000000;N0007.0001200
4289;2743003;1270004;100,00;95,10;N0029.0000000;
4586;2657982;1268995;100,00;100,00;N0006.0000000;
4602;2666001;1269001;82,60;70,70;N0011.0000000;
4602;2666001;1269001;17,40;29,30;N3002.0000000;
4612;2672003;1269004;100,00;89,80;N0007.0001200;
4612;2672003;1269004;0,00;10,20;N0007.0010000;
4638;2686016;1268991;100,00;100,00;N0007.0001200;N0008.0001200
