profile;id;x;y;w;h;r;ox;oy;z;f
bl;17;11;314;154;212;;;;1;46MRe
bl;17;40;133;178;59;;;;2;70,70G
bl;17;9;13;154;71;;;;2;68*
bl;17;20;67;215;124;;;1.3;1;68
bl;18;0;900;129;101;2;;;2;71,71G
bl;18;16;833;129;67;;;;1;56
bl;18;550;837;129;125;;;;1;49*
bl;18;737;582;112;109;;;;1;23H
bl;18;749;462;234;116;;;;1;50*Re
bl;18;433;579;298;162;;;;1;50Re
bl;18;515;475;145;104;;;;2;54A
bl;18;524;353;129;122;;;;1;54
bl;18;76;436;203;178;2;;;2;55,55Lä
bl;18;0;337;151;175;;;1;1;46MRe
bl;18;54;197;229;133;;;;1;55*
bl;18;11;16;216;125;;;;1;68*
bl;18;736;38;128;95;;;;2;65
bl;18;831;9;166;113;;;;1;65*
bl;18;819;136;155;133;2;;;1;53*,53*G
bl;19;0;901;129;97;2;;;1;71,71G
bl;19;16;835;129;67;;;;2;56
bl;19;440;867;451;71;;;;1;27h
bl;19;549;801;203;62;;;;1;26,26h
bl;19;502;606;223;111;;;;1;50P
bl;19;739;464;235;116;;;;1;50*
bl;19;598;333;233;116;;;;1;52,52T
bl;19;705;157;154;134;2;;;1;53Ta,53Lä
bl;19;240;331;170;132;;;;3;47M,47MG
bl;19;348;462;97;79;;;;2;51
bl;19;145;437;184;153;;;;2;47
bl;19;315;528;166;142;;;;1;47D
bl;19;9;535;187;237;2;;;1;47*,47*Lä
bl;19;235;141;262;116;;;;3;23*
bl;19;20;67;215;124;;;;2;68
bl;19;54;198;228;134;2;;;5;55*,55*Lä,55*G
bl;19;9;314;157;213;;;;1;46M
bl;2;505;78;285;102;;;;1;40*
bl;2;740;576;109;109;;;;1;25A
bl;2;604;339;235;115;;;;1;25Q
bl;2;831;103;128;78;;;;1;25e
bl;2;871;3;113;75;;;;1;65*
bl;2;430;3;320;83;;;;2;38S
bl;2;16;66;214;123;;;;1;41*
bl;20;0;903;129;96;2;;;1;71,71G
bl;20;16;836;129;67;;;;2;56
bl;20;440;867;451;71;;;;1;27h
bl;20;552;796;202;63;;;;1;26,26h
bl;20;738;464;236;116;;;;1;50*Re
bl;20;597;334;235;116;;;;1;52Re
bl;20;823;144;103;94;;;;1;53*
bl;20;233;141;264;116;;;;3;23*
bl;20;20;67;214;124;;;;2;68
bl;20;54;199;227;132;2;;;2;55*,55*Lä,55*G
bl;20;11;314;155;213;;;;1;46MRe
bl;20;145;438;184;153;;;;2;47Re
bl;20;314;529;167;144;;;;1;47DRe
bl;21;440;868;451;71;;;;1;27h
bl;21;657;349;160;82;;;;1;52
bl;21;750;473;146;74;;;;1;50*
bl;21;744;51;156;124;2;;;1;67,67G
bl;21;535;136;211;132;2;;;2;69,69G
bl;21;239;331;171;132;2;;;4;47M,47MG
bl;21;145;438;186;154;;;;3;47
bl;21;306;529;166;144;2;;;2;47D,47DG
bl;21;390;547;227;256;2;;;1;21*,21*G
bl;21;12;517;186;237;3;;;1;47*,47*Lä,47*G
bl;21;21;352;108;161;;;;1;46M
bl;21;36;135;175;58;;;;2;70,70G
bl;21;233;141;264;116;;;;2;23*
bl;21;54;196;228;136;2;;;1;55*,55*Lä
bl;21;20;67;214;124;;;1;1;68
bl;22;0;901;129;98;2;;;2;71,71G
bl;22;17;697;157;207;2;;;1;57S,57STa
bl;22;250;852;211;133;;;;1;60E
bl;22;551;839;129;125;;;;1;49*
bl;22;722;867;169;117;;;;1;27*
bl;22;403;472;152;116;;;;2;57VM
bl;22;433;580;298;162;;;;1;60,60Lä,60Ta
bl;22;739;464;235;116;2;;;1;60*,60*Lä,60*G
bl;22;598;333;233;116;;;;1;53A,53ATa
bl;22;181;468;171;128;2;;;3;57C,57CLä,57CTa,57CG
bl;22;245;586;167;157;2;;;1;60A,60ALä,60AG
bl;22;25;418;156;128;;;;2;57M
bl;22;17;544;199;150;2;;;1;57V,57VLä,57VTa,57VG
bl;22;18;66;213;126;;;;3;70,70G
bl;22;8;282;169;134;2;;;3;58,58Lä,58Fe,58G
bl;22;177;286;103;101;;;;2;58C
bl;22;21;190;259;97;;;;1;58L,58LLä,58LG
bl;22;762;9;130;65;;;;3;67*
bl;22;818;134;155;136;2;;;3;53*s,53*sLä
bl;22;744;49;155;125;;;;2;67,67G
bl;22;694;175;154;136;2;;;3;53,53Lä,53Ta,53G
bl;22;535;134;212;132;;;;1;69,69G
bl;23;0;902;129;96;2;;;1;71,71G
bl;23;21;756;149;148;;;;2;57S
bl;23;21;685;100;66;;;;4;59*
bl;23;28;489;169;108;;;;4;57V,57VLä
bl;23;5;519;195;237;2;;;3;47*,47*Lä,47*G
bl;23;181;469;165;127;3;;;4;57C,57CLä,57CTa,57CG
bl;23;393;472;152;116;;;;3;57VM
bl;23;257;713;108;116;2;;;2;59A,59AG
bl;23;394;541;194;265;;;;2;21*,21*G
bl;23;245;586;157;157;3;;0.2;1;60A,60ALä,60AG
bl;23;578;580;153;162;;;;1;60,60Lä
bl;23;722;867;169;117;;;;1;27*
bl;23;739;464;234;116;;;;1;60*,60*G
bl;23;752;281;211;134;;;;3;59S
bl;23;744;49;154;125;;;;2;67,67G
bl;23;694;175;154;136;;;;2;53,53Lä
bl;23;535;134;213;132;;;;1;69,69G
bl;23;8;186;94;101;;;;4;59J
bl;23;18;66;213;125;;;;3;70,70G
bl;23;8;282;169;134;2;;;3;58,58Lä,58Fe,58G
bl;23;176;285;103;103;;;;2;58C
bl;23;65;190;214;117;3;;;3;58L,58LLä,58LG
bl;24;0;899;129;100;2;;;1;71,71G
bl;24;17;533;197;204;2;;;3;59,59*,59Lä
bl;24;242;577;392;221;2;;;2;59A,59AG
bl;24;37;431;211;149;;;;1;59V
bl;24;753;280;211;134;;;;1;59S
bl;24;744;49;155;125;;;;2;67,67G
bl;24;535;134;212;130;;;;1;69,69G
bl;24;175;281;105;106;;;;3;58C
bl;24;8;186;93;100;;;;3;59J
bl;24;8;281;168;134;2;;;1;58,58Lä,58Fe,58G
bl;24;99;186;179;96;;;;2;59L,59LLä
bl;24;16;13;320;58;;;;2;59C
bl;24;18;68;213;120;;;;1;70,70G
bl;25;736;456;235;115;;;;1;60*,60*G
bl;25;33;676;152;84;;;;3;59*,59
bl;25;13;490;185;94;2;;;3;57V,57VLä,57VTa
bl;25;235;600;179;198;;;;2;59A,59AG
bl;25;381;541;227;266;;;;1;21*,21*G
bl;25;11;497;192;264;2;;;2;47*,47*Lä,47*G
bl;25;183;467;166;127;3;;;1;57C,57CTa,57CG
bl;25;175;291;103;105;;;;4;58C
bl;25;11;287;170;133;2;;;3;58,58Lä,58Fe,58G
bl;25;8;186;172;104;;;;2;59J
bl;25;18;66;212;124;;;;1;70,70G
bl;25;753;281;211;133;;;;1;59S
bl;25;535;133;211;132;;;;2;69,69G
bl;25;744;49;156;124;;;;1;67,67G
bl;26;3;900;129;99;2;;;1;71,71G
bl;26;32;590;149;133;2;;;1;72,72Lä,72G
bl;26;242;586;365;212;;;;1;AV
bl;26;744;49;154;125;;;;2;67,67G
bl;26;534;133;213;133;;;;1;69,69G
bl;26;18;92;213;99;;;;1;70,70G
bl;27;0;902;129;98;2;;;1;71,71G
